SampleNumber,ExperimentI ID,SampleID,Cell Line,Treatment,Antibody,Replicate,R1,R2,group_norm,group_avg,params,
942,47,MD0050,HLF,DMSO,MLL1,1,/proj/jraablab/users/share/NGS/0028_Raab/MD0050_S1_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0050_S1_R2_001.fastq.gz,HLF_MLL1,HLF_DMSO_MLL1,"""--bins""",942_MD0050_HLF_MLL1_DMSO_1
943,47,MD0051,HLF,DMSO,H3K27me3,1,/proj/jraablab/users/share/NGS/0028_Raab/MD0051_S2_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0051_S2_R2_001.fastq.gz,HLF_H3K27me3,HLF_DMSO_H3K27me3,"""--bins""",943_MD0051_HLF_H3K27me3_DMSO_1
944,47,MD0052,HLF,DMSO,IgG,1,/proj/jraablab/users/share/NGS/0028_Raab/MD0052_S3_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0052_S3_R2_001.fastq.gz,HLF_IgG,HLF_DMSO_IgG,"""--bins""",944_MD0052_HLF_IgG_DMSO_1
945,47,MD0053,HLF,SNDX,MLL1,1,/proj/jraablab/users/share/NGS/0028_Raab/MD0053_S4_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0053_S4_R2_001.fastq.gz,HLF_MLL1,HLF_SNDX_MLL1,"""--bins""",945_MD0053_HLF_MLL1_SNDX_1
946,47,MD0054,HLF,SNDX,H3K27me3,1,/proj/jraablab/users/share/NGS/0028_Raab/MD0054_S5_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0054_S5_R2_001.fastq.gz,HLF_H3K27me3,HLF_SNDX_H3K27me3,"""--bins""",946_MD0054_HLF_H3K27me3_SNDX_1
947,47,MD0055,HLF,SNDX,IgG,1,/proj/jraablab/users/share/NGS/0028_Raab/MD0055_S6_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0055_S6_R2_001.fastq.gz,HLF_IgG,HLF_SNDX_IgG,"""--bins""",947_MD0055_HLF_IgG_SNDX_1
948,47,MD0056,HLF,DMSO,MLL1,2,/proj/jraablab/users/share/NGS/0028_Raab/MD0056_S7_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0056_S7_R2_001.fastq.gz,HLF_MLL1,HLF_DMSO_MLL1,"""--bins""",948_MD0056_HLF_MLL1_DMSO_2
949,47,MD0057,HLF,DMSO,H3K27me3,2,/proj/jraablab/users/share/NGS/0028_Raab/MD0057_S8_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0057_S8_R2_001.fastq.gz,HLF_H3K27me3,HLF_DMSO_H3K27me3,"""--bins""",949_MD0057_HLF_H3K27me3_DMSO_2
950,47,MD0058,HLF,DMSO,IgG,2,/proj/jraablab/users/share/NGS/0028_Raab/MD0058_S9_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0058_S9_R2_001.fastq.gz,HLF_IgG,HLF_DMSO_IgG,"""--bins""",950_MD0058_HLF_IgG_DMSO_2
951,47,MD0059,HLF,SNDX,MLL1,2,/proj/jraablab/users/share/NGS/0028_Raab/MD0059_S10_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0059_S10_R2_001.fastq.gz,HLF_MLL1,HLF_SNDX_MLL1,"""--bins""",951_MD0059_HLF_MLL1_SNDX_2
952,47,MD0060,HLF,SNDX,H3K27me3,2,/proj/jraablab/users/share/NGS/0028_Raab/MD0060_S11_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0060_S11_R2_001.fastq.gz,HLF_H3K27me3,HLF_SNDX_H3K27me3,"""--bins""",952_MD0060_HLF_H3K27me3_SNDX_2
953,47,MD0061,HLF,SNDX,IgG,2,/proj/jraablab/users/share/NGS/0028_Raab/MD0061_S12_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/MD0061_S12_R2_001.fastq.gz,HLF_IgG,HLF_SNDX_IgG,"""--bins""",953_MD0061_HLF_IgG_SNDX_2
761,39,MD0022,HLF,DMSO,Menin,1,/proj/jraablab/users/share/NGS/1000_13/MD0022_S1_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0022_S1_R2_001.fastq.gz,HLF_Menin,HLF_DMSO_Menin,"""--bins""",761_MD0022_HLF_Menin_DMSO_1
763,39,MD0024,HLF,DMSO,H3K4me3,1,/proj/jraablab/users/share/NGS/1000_13/MD0024_S3_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0024_S3_R2_001.fastq.gz,HLF_H3K4me3,HLF_DMSO_H3K4me3,"""--bins""",763_MD0024_HLF_H3K4me3_DMSO_1
764,39,MD0025,HLF,DMSO,IgG,1,/proj/jraablab/users/share/NGS/1000_13/MD0025_S4_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0025_S4_R2_001.fastq.gz,HLF_IgG,HLF_DMSO_IgG,"""--bins""",764_MD0025_HLF_IgG_DMSO_1
